type,group,name,link,level
Warm-up,General Full-body Warm-up,Walking Back and Forth,,
Warm-up,General Full-body Warm-up,Jumping Jacks,,
Warm-up,General Full-body Warm-up,Walking Knee Hugs,,
Warm-up,General Full-body Warm-up,Side Shuffles,,
Warm-up,General Full-body Warm-up,Back Walking,,
Warm-up,General Full-body Warm-up,Karaoke,,
Warm-up,General Full-body Warm-up,High Knees,,
Warm-up,General Full-body Warm-up,Jogging in Place,,
Warm-up,General Full-body Warm-up,Side-to-side hops,,
Warm-up,Lower-body Dynamic Stretches,Hip Circles*,,
Warm-up,Lower-body Dynamic Stretches,Knee Circles*,,
Warm-up,Lower-body Dynamic Stretches,Ankle Circles with Wrist Circles^,,
Warm-up,Lower-body Dynamic Stretches,Hip Rotations^,,
Warm-up,Lower-body Dynamic Stretches,Leg pendulum^,,
Warm-up,Lower-body Dynamic Stretches,Alternate Butt Kicks^,,
Warm-up,Lower-body Dynamic Stretches,Alternate Leg Kicks^,,
Warm-up,Upper-body Dynamic Stretches,Arm Circles*,,
Warm-up,Upper-body Dynamic Stretches,Alternate Arm Rotations^,,
Warm-up,Upper-body Dynamic Stretches,Neck Tilts*,,
Warm-up,Upper-body Dynamic Stretches,Chest Expansions*,,
Warm-up,Upper-body Dynamic Stretches,Shoulder Internal/External Rotations^,,
Warm-up,Upper-body Dynamic Stretches,Torso Rotations^,,Beginner
Resistance,Upper Body Extensors (Chest/Triceps/Shoulders),Wall Push-ups,https://youtu.be/CobC0LNolTg,Beginner
Resistance,Upper Body Extensors (Chest/Triceps/Shoulders),Leg Bent Floor Dips,,Beginner
Resistance,Upper Body Extensors (Chest/Triceps/Shoulders),Body-elevated Push-ups,https://youtu.be/VvfTlJVBLWg,Beginner
Resistance,Upper Body Extensors (Chest/Triceps/Shoulders),Box Push-ups,,Beginner
Resistance,Upper Body Extensors (Chest/Triceps/Shoulders),Chest Press Squeeze,,Beginner
Resistance,Upper Body Extensors (Chest/Triceps/Shoulders),Triceps Wall-Extension,https://youtu.be/_V0iBPUCNSA,Beginner
Resistance,Upper Body Extensors (Chest/Triceps/Shoulders),Shoulder IYTWO,,Beginner
Resistance,Upper Body Extensors (Chest/Triceps/Shoulders),Regular Push-ups,https://youtu.be/S6uV6pDJYNw,Intermediate
Resistance,Upper Body Extensors (Chest/Triceps/Shoulders),Narrow Grip Push-ups,https://youtu.be/J0x0a-q5qxo,Intermediate
